pxcor,pycor,patch ID,block ID,patch richness
5,59,5_59,2900,6
50,97,50_97,4802,13
96,17,96_17,804,5
19,8,19_8,400,9
84,69,84_69,3404,4
61,99,61_99,4903,9
21,18,21_18,901,8
31,67,31_67,3301,13
14,59,14_59,2900,9
67,52,67_52,2603,10
72,13,72_13,603,5
1,55,1_55,2700,9
55,44,55_44,2202,14
92,30,92_30,1504,3
16,9,16_9,400,4
82,8,82_8,404,3
46,60,46_60,3002,1
40,54,40_54,2702,3
7,92,7_92,4600,3
54,70,54_70,3502,4
16,96,16_96,4800,10
64,77,64_77,3803,6
66,30,66_30,1503,5
10,37,10_37,1800,6
55,54,55_54,2702,14
88,56,88_56,2804,2
74,26,74_26,1303,8
49,66,49_66,3302,48
39,13,39_13,601,3
69,9,69_9,403,11
72,56,72_56,2803,21
76,47,76_47,2303,4
72,74,72_74,3703,9
61,5,61_5,203,9
75,41,75_41,2003,5
32,30,32_30,1501,5
54,56,54_56,2802,3
85,57,85_57,2804,14
79,73,79_73,3603,9
96,22,96_22,1104,5
28,23,28_23,1101,6
58,0,58_0,2,7
80,30,80_30,1504,14
98,57,98_57,2804,2
4,30,4_30,1500,5
82,30,82_30,1504,7
83,28,83_28,1404,13
99,53,99_53,2604,4
27,17,27_17,801,5
4,95,4_95,4700,4
89,99,89_99,4904,5
25,63,25_63,3101,11
68,1,68_1,3,3
11,26,11_26,1300,4
56,61,56_61,3002,7
66,34,66_34,1703,5
0,36,0_36,1800,7
89,63,89_63,3104,7
51,15,51_15,702,12
43,81,43_81,4002,5
80,44,80_44,2204,14
58,94,58_94,4702,8
18,27,18_27,1300,3
28,58,28_58,2901,32
33,53,33_53,2601,2
65,23,65_23,1103,6
66,96,66_96,4803,5
16,75,16_75,3700,16
90,72,90_72,3604,3
9,95,9_95,4700,10
56,22,56_22,1102,5
75,88,75_88,4403,2
95,72,95_72,3604,16
55,38,55_38,1902,5
77,63,77_63,3103,3
87,58,87_58,2904,4
50,80,50_80,4002,4
27,75,27_75,3701,3
98,75,98_75,3704,8
8,25,8_25,1200,9
22,41,22_41,2001,9
