"","X.run.number.","num.nurseries","happiness.type","patch.richness.constraints","patch.richness.visualization","yard.difference","mimicry","neighbor.distance","global_moran","moran_p","global_mantel","mantel_p"
"114",112,4,"equal","by-block",FALSE,2,TRUE,9,0.0449169597276011,0,0.0151193739906579,0.001
"111",113,4,"equal","by-block",FALSE,2,TRUE,9,0.0500599521371565,0,0.00728552113134075,0.025
"116",114,4,"equal","by-block",FALSE,2,TRUE,9,0.0478241806351922,0,-0.0077491939530303,0.986
"113",115,4,"equal","by-block",FALSE,2,TRUE,9,0.0482779761587971,0,-0.00322384533690133,0.817
"119",116,4,"equal","by-block",FALSE,2,TRUE,9,0.0448939081914964,0,0.0116913059695275,0.001
"115",117,4,"equal","by-block",FALSE,2,TRUE,9,0.0416623116972077,0,-0.0105754564805129,0.998
"117",118,4,"equal","by-block",FALSE,2,TRUE,9,0.0434053428471869,0,0.0303821932361512,0.001
"118",119,4,"equal","by-block",FALSE,2,TRUE,9,0.0468414450372568,0,0.0284008740199347,0.001
"120",120,4,"equal","by-block",FALSE,2,TRUE,9,0.0461369958358185,0,0.0454470584004204,0.001
"121",121,4,"equal-or-greater","off",FALSE,0,TRUE,3,0.137879809933876,0,0.0475493526903291,0.001
"127",122,4,"equal-or-greater","off",FALSE,0,TRUE,3,0.271117648971602,0,0.0420845217515367,0.001
"122",123,4,"equal-or-greater","off",FALSE,0,TRUE,3,0.0979297721439414,0,0.0889534612562548,0.001
"126",124,4,"equal-or-greater","off",FALSE,0,TRUE,3,0.135604572046999,0,0.0844769786329256,0.001
"129",125,4,"equal-or-greater","off",FALSE,0,TRUE,3,0.185076503956068,0,0.111226332485104,0.001
"128",126,4,"equal-or-greater","off",FALSE,0,TRUE,3,0.174355422557454,0,0.120665131210342,0.001
"123",127,4,"equal-or-greater","off",FALSE,0,TRUE,3,0.10294631366605,0,0.0495986785634646,0.001
"125",128,4,"equal-or-greater","off",FALSE,0,TRUE,3,0.192254814161788,0,0.0624462084520931,0.001
"124",129,4,"equal-or-greater","off",FALSE,0,TRUE,3,0.202009834121657,0,0.0600997644489466,0.001
"130",130,4,"equal-or-greater","off",FALSE,0,TRUE,3,0.199191005171062,0,0.114749554674093,0.001
"131",131,4,"equal-or-greater","off",FALSE,0,TRUE,9,-0.000173710036316813,0.702583402278767,0.0276102404208289,0.001
"140",132,4,"equal-or-greater","off",FALSE,0,TRUE,9,-0.000109041184067395,0.962729383801203,0.0361061925026636,0.001
"148",133,4,"equal-or-greater","off",FALSE,0,TRUE,9,-0.000287696972581469,0.33040504400078,0.0346376975676186,0.001
"134",134,4,"equal-or-greater","off",FALSE,0,TRUE,9,-0.000173354086310629,0.704691247381362,0.0479410371364047,0.001
"169",135,4,"equal-or-greater","off",FALSE,0,TRUE,9,0.028982530021671,0,0.0403730125376768,0.001
"151",136,4,"equal-or-greater","off",FALSE,0,TRUE,9,-1.29983972251637e-05,0.651258188199245,0.0101062782652221,0.02
"210",137,4,"equal-or-greater","off",FALSE,0,TRUE,9,0.183213628376559,0,0.087543177555938,0.001
"149",138,4,"equal-or-greater","off",FALSE,0,TRUE,9,6.25967477110866e-05,0.399067019104858,0.0480470571738101,0.001
"156",139,4,"equal-or-greater","off",FALSE,0,TRUE,9,0.00314190055782602,0,0.0408408013727588,0.001
"144",140,4,"equal-or-greater","off",FALSE,0,TRUE,9,-0.000164947443782526,0.736374763733686,0.0414165764501708,0.001
"132",141,4,"equal-or-greater","off",FALSE,2,TRUE,3,0.00556994383055699,0,0.0121273924582108,0.001
"133",142,4,"equal-or-greater","off",FALSE,2,TRUE,3,0.00709480893976769,0,-0.00372298673491364,0.83
"135",143,4,"equal-or-greater","off",FALSE,2,TRUE,3,0.00740410147828633,0,0.00276089064874773,0.231
"136",144,4,"equal-or-greater","off",FALSE,2,TRUE,3,0.00545211517097855,0,0.00683690878633392,0.043
"137",145,4,"equal-or-greater","off",FALSE,2,TRUE,3,0.00484027710617323,0,0.0119163341840288,0.002
"138",146,4,"equal-or-greater","off",FALSE,2,TRUE,3,0.00809824580235507,0,0.00695577277180529,0.031
"139",147,4,"equal-or-greater","off",FALSE,2,TRUE,3,0.00529669759033644,0,-0.00270808822243748,0.76
"141",148,4,"equal-or-greater","off",FALSE,2,TRUE,3,0.00737639554529932,0,-0.00273527833074846,0.772
"142",149,4,"equal-or-greater","off",FALSE,2,TRUE,3,0.00681308852210498,0,0.00435870669196912,0.136
"143",150,4,"equal-or-greater","off",FALSE,2,TRUE,3,0.00695033669697625,0,0.0110795607537707,0.001
"147",151,4,"equal-or-greater","off",FALSE,2,TRUE,9,0.00382784445561797,0,-0.0013637681487338,0.623
"145",152,4,"equal-or-greater","off",FALSE,2,TRUE,9,0.0026518467107969,0,-0.00430445491890596,0.865
"146",153,4,"equal-or-greater","off",FALSE,2,TRUE,9,0.00100959660480746,1.19856402580609e-08,0.00402219535829809,0.174
"150",154,4,"equal-or-greater","off",FALSE,2,TRUE,9,0.00235616172229987,0,0.00312504090435115,0.238
"153",155,4,"equal-or-greater","off",FALSE,2,TRUE,9,0.00202087115186722,0,0.00617183474443274,0.059
"152",156,4,"equal-or-greater","off",FALSE,2,TRUE,9,0.00242744345464413,0,0.0053002758524799,0.112
"154",157,4,"equal-or-greater","off",FALSE,2,TRUE,9,0.00319543713784733,0,0.0141422031088113,0.001
"161",158,4,"equal-or-greater","off",FALSE,2,TRUE,9,0.0017634354304065,0,-0.000129466413398828,0.517
"163",159,4,"equal-or-greater","off",FALSE,2,TRUE,9,0.00284815894453146,0,0.015742203948285,0.001
"165",160,4,"equal-or-greater","off",FALSE,2,TRUE,9,0.00263443522491851,0,0.0145689236785182,0.001
"155",161,4,"equal-or-greater","random",FALSE,0,TRUE,3,0.00589780784510115,0,0.0137091236004425,0.001
"158",162,4,"equal-or-greater","random",FALSE,0,TRUE,3,0.00797833098592312,0,0.0164180121090049,0.001
"157",163,4,"equal-or-greater","random",FALSE,0,TRUE,3,0.00594040956332072,0,0.00926306410755205,0.011
"159",164,4,"equal-or-greater","random",FALSE,0,TRUE,3,0.0049410732024688,0,0.00521705459314017,0.105
"160",165,4,"equal-or-greater","random",FALSE,0,TRUE,3,0.00406511983888846,0,0.0132617085347029,0.001
"162",166,4,"equal-or-greater","random",FALSE,0,TRUE,3,0.00685256920071355,0,0.00419672725238472,0.158
"164",167,4,"equal-or-greater","random",FALSE,0,TRUE,3,0.00539032844296516,0,-0.00262637383514038,0.759
"166",168,4,"equal-or-greater","random",FALSE,0,TRUE,3,0.00677597001409462,0,0.0134349893280988,0.002
"167",169,4,"equal-or-greater","random",FALSE,0,TRUE,3,0.00626878545714832,0,0.0118773476153586,0.002
"168",170,4,"equal-or-greater","random",FALSE,0,TRUE,3,0.0048681153011113,0,0.0108972289960831,0.005
"172",171,4,"equal-or-greater","random",FALSE,0,TRUE,9,0.00107591166378163,1.56640522774865e-09,0.0196086641385211,0.001
"177",172,4,"equal-or-greater","random",FALSE,0,TRUE,9,0.000452619877602329,0.00454974385304108,0.00638988979031297,0.071
"170",173,4,"equal-or-greater","random",FALSE,0,TRUE,9,-0.000106496043324443,0.973434458969933,0.00903952998542373,0.014
"171",174,4,"equal-or-greater","random",FALSE,0,TRUE,9,6.62786830015412e-05,0.393233942875344,0.00393585147487475,0.173
"173",175,4,"equal-or-greater","random",FALSE,0,TRUE,9,0.000176230673730043,0.15610789083001,0.00894073561571348,0.023
"179",176,4,"equal-or-greater","random",FALSE,0,TRUE,9,0.00129967101317151,6.66133814775094e-13,0.00155126045050093,0.345
"178",177,4,"equal-or-greater","random",FALSE,0,TRUE,9,0.000185628415976696,0.142498843176988,0.00705072800909572,0.041
"187",178,4,"equal-or-greater","random",FALSE,0,TRUE,9,0.00290410712999021,0,0.0173225553342941,0.001
"198",179,4,"equal-or-greater","random",FALSE,0,TRUE,9,0.000544925910591355,0.00092890863077888,0.0119562748472665,0.002
"199",180,4,"equal-or-greater","random",FALSE,0,TRUE,9,3.18668933522688e-05,0.498334169302579,0.00827336353938926,0.031
"174",181,4,"equal-or-greater","random",FALSE,2,TRUE,3,0.0022084939665406,0,-0.00597915035312693,0.975
"175",182,4,"equal-or-greater","random",FALSE,2,TRUE,3,0.00279169710084044,0,0.00656826980041974,0.025
"176",183,4,"equal-or-greater","random",FALSE,2,TRUE,3,0.00219539862620926,0,0.00616221998638967,0.036
"180",184,4,"equal-or-greater","random",FALSE,2,TRUE,3,0.00189479939851986,0,0.0040162776624156,0.106
"181",185,4,"equal-or-greater","random",FALSE,2,TRUE,3,0.00216073489823459,0,0.000308065623325996,0.471
"182",186,4,"equal-or-greater","random",FALSE,2,TRUE,3,0.00319560038270118,0,-0.000464087477894,0.552
"183",187,4,"equal-or-greater","random",FALSE,2,TRUE,3,0.00187480563461023,0,0.00553576898383493,0.051
"184",188,4,"equal-or-greater","random",FALSE,2,TRUE,3,0.00235653730820132,0,0.00540105991188535,0.043
"185",189,4,"equal-or-greater","random",FALSE,2,TRUE,3,0.00191374609019951,0,0.00895909586151804,0.002
"186",190,4,"equal-or-greater","random",FALSE,2,TRUE,3,0.00166636358918342,0,0.0110388875983403,0.001
"188",191,4,"equal-or-greater","random",FALSE,2,TRUE,9,0.000145205920083294,0.208072607686749,0.00811355344409826,0.007
"190",192,4,"equal-or-greater","random",FALSE,2,TRUE,9,0.000425693573857218,0.00695937765643762,0.0092574360210457,0.003
"189",193,4,"equal-or-greater","random",FALSE,2,TRUE,9,0.000587992273000691,0.000412439581039648,0.00749819920018498,0.017
"192",194,4,"equal-or-greater","random",FALSE,2,TRUE,9,1.11230292747585e-05,0.568313475068855,0.00270589266964706,0.215
"193",195,4,"equal-or-greater","random",FALSE,2,TRUE,9,-0.000145457404289455,0.815521635569406,0.00929262021981744,0.004
"191",196,4,"equal-or-greater","random",FALSE,2,TRUE,9,-2.14548243787395e-05,0.686735951381758,0.00209698486596336,0.268
"194",197,4,"equal-or-greater","random",FALSE,2,TRUE,9,-8.62319087689237e-05,0.943611158441968,0.00599914201827192,0.048
"195",198,4,"equal-or-greater","random",FALSE,2,TRUE,9,0.000389840097914636,0.0119120024859274,-0.00177363714103259,0.674
"197",199,4,"equal-or-greater","random",FALSE,2,TRUE,9,0.00122472848037726,1.0401901562318e-11,0.00347638718834901,0.157
"196",200,4,"equal-or-greater","random",FALSE,2,TRUE,9,-0.000183435816202303,0.668449930652542,0.00128467179039916,0.35
"201",201,4,"equal-or-greater","by-block",FALSE,0,TRUE,3,0.403391167917215,0,0.22026330404711,0.001
"203",202,4,"equal-or-greater","by-block",FALSE,0,TRUE,3,0.389361586623583,0,0.217058469214628,0.001
"204",203,4,"equal-or-greater","by-block",FALSE,0,TRUE,3,0.399994929890765,0,0.223171584568795,0.001
"205",204,4,"equal-or-greater","by-block",FALSE,0,TRUE,3,0.405118095579803,0,0.239834463814246,0.001
"200",205,4,"equal-or-greater","by-block",FALSE,0,TRUE,3,0.395971550569443,0,0.230996277228753,0.001
"209",206,4,"equal-or-greater","by-block",FALSE,0,TRUE,3,0.393467971782799,0,0.212856266875775,0.001
"202",207,4,"equal-or-greater","by-block",FALSE,0,TRUE,3,0.39221608709905,0,0.239823613861708,0.001
"206",208,4,"equal-or-greater","by-block",FALSE,0,TRUE,3,0.402703581672384,0,0.220013711259914,0.001
"207",209,4,"equal-or-greater","by-block",FALSE,0,TRUE,3,0.393612123431664,0,0.2261538107966,0.001
"208",210,4,"equal-or-greater","by-block",FALSE,0,TRUE,3,0.38909802719534,0,0.206673802288709,0.001
"211",211,4,"equal-or-greater","by-block",FALSE,0,TRUE,9,0.328652169137677,0,0.135466510997679,0.001
"238",212,4,"equal-or-greater","by-block",FALSE,0,TRUE,9,0.384317171415887,0,0.212863540070436,0.001
"222",213,4,"equal-or-greater","by-block",FALSE,0,TRUE,9,0.330634774647091,0,0.13358148857355,0.001
"234",214,4,"equal-or-greater","by-block",FALSE,0,TRUE,9,0.379993613221829,0,0.205159489411255,0.001
"240",215,4,"equal-or-greater","by-block",FALSE,0,TRUE,9,0.377662668670102,0,0.20705872402533,0.001
"233",216,4,"equal-or-greater","by-block",FALSE,0,TRUE,9,0.381965340970018,0,0.203106834409826,0.001
"224",217,4,"equal-or-greater","by-block",FALSE,0,TRUE,9,0.358463452220831,0,0.176818391879389,0.001
"239",218,4,"equal-or-greater","by-block",FALSE,0,TRUE,9,0.380461131250704,0,0.206097883219981,0.001
"221",219,4,"equal-or-greater","by-block",FALSE,0,TRUE,9,0.324857105778095,0,0.136989549166102,0.001
"228",220,4,"equal-or-greater","by-block",FALSE,0,TRUE,9,0.326200200308308,0,0.156573435339066,0.001
"212",221,4,"equal-or-greater","by-block",FALSE,2,TRUE,3,0.0520828092353337,0,0.00373765860449817,0.128
"213",222,4,"equal-or-greater","by-block",FALSE,2,TRUE,3,0.0468444103079156,0,0.00362499694624517,0.138
"214",223,4,"equal-or-greater","by-block",FALSE,2,TRUE,3,0.0494137563595746,0,-0.00855581021696886,0.987
"215",224,4,"equal-or-greater","by-block",FALSE,2,TRUE,3,0.0573984844811956,0,-0.0117689233322339,1
"216",225,4,"equal-or-greater","by-block",FALSE,2,TRUE,3,0.0550731325188903,0,-0.0144494958572555,1
"217",226,4,"equal-or-greater","by-block",FALSE,2,TRUE,3,0.0540853164504325,0,0.00566128694827469,0.051
"218",227,4,"equal-or-greater","by-block",FALSE,2,TRUE,3,0.0506412473312196,0,-0.00879779022257496,0.992
"219",228,4,"equal-or-greater","by-block",FALSE,2,TRUE,3,0.0529988930201072,0,0.00182190131895674,0.325
"220",229,4,"equal-or-greater","by-block",FALSE,2,TRUE,3,0.0492500880966488,0,-0.0173753777951692,1
"223",230,4,"equal-or-greater","by-block",FALSE,2,TRUE,3,0.0554003782947459,0,-0.00999249395748317,0.997
"226",231,4,"equal-or-greater","by-block",FALSE,2,TRUE,9,0.0507628886029073,0,0.00086859810138335,0.401
"227",232,4,"equal-or-greater","by-block",FALSE,2,TRUE,9,0.0518227208726543,0,0.0107912549554859,0.002
"225",233,4,"equal-or-greater","by-block",FALSE,2,TRUE,9,0.0476860685873355,0,0.018014851621747,0.001
"230",234,4,"equal-or-greater","by-block",FALSE,2,TRUE,9,0.0450326330849611,0,0.0184558000266548,0.001
"229",235,4,"equal-or-greater","by-block",FALSE,2,TRUE,9,0.0424991074330417,0,0.0139307568259653,0.001
"232",236,4,"equal-or-greater","by-block",FALSE,2,TRUE,9,0.0478991860721583,0,0.0644594538004851,0.001
"231",237,4,"equal-or-greater","by-block",FALSE,2,TRUE,9,0.0517765193186457,0,0.00602601674742111,0.052
"235",238,4,"equal-or-greater","by-block",FALSE,2,TRUE,9,0.0493079962142928,0,0.00816694088732633,0.013
"236",239,4,"equal-or-greater","by-block",FALSE,2,TRUE,9,0.0468043013735004,0,0.0271723785413408,0.001
"237",240,4,"equal-or-greater","by-block",FALSE,2,TRUE,9,0.0552184807285413,0,0.0606621817346561,0.001
